おひゃくど,お百度
おひらき,お開き
おひる,おひる
おびる,帯びる
おひれ,尾ひれ
おぺら,オペラ
おぼしめし,思召し
おぼしめす,思召す
おぼろ,おぼろ
おまけ,おまけ
おまもり,お守り
おむつ,おむつ
おもいいれ,思入れ
おもいで,思い出
おもえば,思えば
おもしろい,面白い
おもたい,重たい
おもて,おもて
おもてざた,表沙汰
おもてだつ,表立つ
おもてどおり,表通り
おもてどおり,表通り
おもてにほん,表日本
おもてむき,表向き
おもと,おもと
おもと,おもと
おもな,おもな
おもに,おもに
おももち,面持ち
おもわく,思わく
おもわず,思わず
おやおもい,親思い
おやきょうだい,親兄弟
おやじ,おやじ
おやつ,おやつ
おやどり,親どり
おやなし,親無し
おやばか,親ばか
おやふこう,親不孝
おやもと,親もと
おやもと,親もと
おやゆずり,親譲り
およそ,およそ
および,および
およびごし,及び腰
およぼす,及ぼす
おりえり,折り衿
おりがみ,折り紙
おりから,折から
おりづる,折り鶴
おりばこ,折り箱
おりめ,折り目
おりやま,折り山
おりよく,折よく
おりる,おりる
おりる,降りる
おるぐ,オルグ
おれきれき,お歴々
おれる,折れる
おろか,おろか
おろか,おろか
おろし,おろし
おろし,おろし
おろしうり,卸売り
おろす,おろす
おろす,降ろす
おろち,おろち
おわす,おわす
おわす,負わす
おわり,終わり
おわる,終わる
おんがえし,恩返し
おんす,オンス
おんせんきょう,温泉郷
おんなでんか,女天下
おんなのこ,女の子
おんなもち,女持ち
おんぶ,おんぶ
があぜ,ガーゼ
かあど,カード
があど,ガード
かあぶ,カーブ
がある,ガール
かいあげ,買上げ
かいいぬ,飼い犬
かいいれ,買入れ
かいうけ,買受け
かいおうせい,海王星
かいきしょく,皆既食
かいきせん,回帰線
かいきせん,回帰線
かいきり,買切り
かいこ,かいこ
がいこくご,外国語
がいこくじん,外国人
かいさんぶつ,海産物
がいして,概して
かいしょう,甲斐性
かいすいよく,海水浴
かいすうけん,回数券
かいする,介する
かいする,解する
がいする,害する
かいだし,買出し
かいだんし,快男子
かいちゅうもの,懐中物
かいつけ,買付け
かいて,買い手
がいど,ガイド
かいどき,買い時
かいな,かいな
かいぬし,飼い主
かいぬし,買い主
かいね,買い値
かいば,かいば
かいぶんしょ,怪文書
かいへいき,開閉機
かいもの,買い物
がいようやく,外用薬
がいらいご,外来語
がいりんざん,外輪山
かえうた,替え歌
かえす,かえす
かえだま,替え玉
かえだま,替え玉
かえで,かえで
かえりみる,顧みる
かえる,かえる
かえる,かえる
かえる,換える
かえる,代える
かえる,変える
かえる,変える
かおそり,顔剃り
かおだし,顔出し
かおだち,顔立ち
かおだち,顔立ち
かおつき,顔つき
かおぶれ,顔ぶれ
かおまけ,顔負け
かおみせ,顔見せ
かおむけ,顔向け
かおり,かおり
かおる,かおる
かがくしゃ,科学者
かかげる,掲げる
かかし,案山子
かかす,欠かす
かかと,かかと
かがむ,かがむ
かがやかす,輝かす
かがり,かがり
かかりかん,係り官
かかる,かかる
かかる,かかる
かがる,かがる
かきかた,書き方
かぎざき,鉤裂き
かきぞめ,書初め
かきて,書き手
がきどう,餓鬼道
かぎばり,かぎ針
かきはん,書き判
かくあげ,格上げ
かくいつてき,画一的
がくげいかい,学芸会
かくさげ,格下げ
かくざとう,角砂糖
がくしいん,学士院
かくしげい,隠し芸
かくしごと,隠し事
かくする,画する
かくする,画する
かくせいき,拡声器
かくせいき,拡声器
かくせいざい,覚醒剤
かくだんとう,核弾頭
かくづけ,格付け
かくて,かくて
かくのうこ,格納庫
かくばる,角ばる
がくようひん,学用品
かくれが,隠れが
かくれる,隠れる
かくれる,隠れる
がくん,がくん
かけ,−かけ
がけ,−がけ
かけあし,駆け足
かけいぼ,家計簿
かけがね,かけ金
かけごえ,掛け声
かけことば,かけ詞
かけざん,掛け算
かけじく,掛け軸
かけず,掛け図
かけぢゃや,掛茶屋
かけね,掛け値
かけはし,かけ橋
かげひなた,陰日向
かげふみ,影踏み
かげぼうし,影法師
かげぼし,陰干し
かげむしゃ,影武者
かけら,かけら
かける,掛ける
かける,掛ける
かける,駆ける
かける,欠ける
かける,賭ける
かげる,かげる
かこうがん,花崗岩
かこうげん,火口原
かこつ,かこつ
かごぬけ,篭抜け
かざおれ,風折れ
かざす,かざす
がさつ,がさつ
がさつ,がさつ
かさなり,重なり
かさなる,重なる
かさねる,重ねる
かさむ,かさむ
かざむき,風向き
かざよけ,風除け
かざりぬの,飾り布
かざんがん,火山岩
かじか,かじか
かしかん,下士官
かしきん,貸し金
かしぐ,かしぐ
かしこ,かしこ
かしこ,かしこ
かしこくも,畏くも
かしせき,貸し席
かして,貸し手
かじとり,楫取り
かしぬし,貸し主
かしま,貸し間
かしや,菓子屋
かしや,貸し家
かじや,鍛治屋
かしら,かしら
かしらもじ,頭文字
かじる,かじる
かしわ,かしわ
かすか,かすか
かすか,かすか
かずのこ,数の子
かずら,かずら
かずら,かずら
かする,かする
かする,化する
かする,嫁する
かする,課する
がする,賀する
かせいがん,火成岩
かせいふ,家政婦
かせぐ,かせぐ
かぜとおし,風通し
かぜとおし,風通し
かぜよけ,風除け
かぞえうた,数え歌
かぞえる,数える
かそくど,加速度
かそせい,可塑性
かたあげ,肩揚げ
かたあげ,肩揚げ
かたい,かたい
かたいじ,固意地
かたいっぽう,片一方
かたいなか,片田舎
かたおもい,片思い
かたがえし,片返し
かたがえす,片返す
かたがき,肩書き
かたかけ,肩掛け
かたかな,片かな
かたき,かたき
かたぎ,かたぎ
かたごし,肩越し
かたごし,肩越し
かたこと,片こと
かたちづくる,形作る
かたてま,片手間
かたどおり,型通り
かたとき,片とき
かたな,かたな
かたはし,片はし
かたはし,片はし
かたまる,固まる
かたむける,傾ける
かためる,固める
かたやぶり,型破り
かたゆで,固茹で
かたらい,語らい
かたらう,語らう
かたり,かたり
かたりぐさ,語り草
かたる,かたる
かたわ,かたわ
かたわれ,片われ
かたん,かたん
がたん,がたん
がち,−がち
かちき,勝ち気
かちぼし,勝ち星
かちめ,勝ち目
かちり,かちり
がちり,がちり
かちわたり,徒渡り
かちん,かちん
がちん,がちん
かつお,かつお
かっかざん,活火山
かつぎ,かつぎ
かっきてき,画期的
かつぐ,かつぐ
かつぐ,かつぐ
がっしゅうこく,合衆国
かっすいき,渇水期
がっする,合する
かつて,かつて
かつて,かつて
かっと,かっと
かっと,かっと
かっと,カット
かっと,カット
かっぱ,かっぱ
かつは,かつは
かっぱらう,掻払う
かっぷ,カップ
かつようじゅ,濶葉樹
かつら,かつら
かつら,かつら
かていか,家庭科
かとき,過渡期
かどだつ,角だつ
かなう,かなう
かなえ,かなえ
かなしい,悲しい
かなしみ,悲しみ
かなしむ,悲しむ
かなた,かなた
かなでる,奏でる
かなでる,奏でる
かなでる,奏でる
かなめ,かなめ
かなり,かなり
がなる,がなる
かねあい,兼合い
かねいれ,金入れ
かねかし,金貸し
かねぐり,金繰り
かねづかい,金使い
かねづまり,金詰り
かねて,かねて
かねて,かねて
かねばなれ,金離れ
かねもうけ,金儲け
かねもち,金持ち
かねる,かねる
かねる,兼ねる
かねんせい,可燃性
かねんぶつ,可燃物
かのこ,かのこ
かばあ,カバー
かばあ,カバー
かばう,かばう
かばう,かばう
かばね,かばね
かばやき,蒲焼き
かばん,かばん
かはんしん,下半身
かびる,かびる
かびん,花びん
かぶき,歌舞伎
かふくぶ,下腹部
かふす,カフス
