かれえこ,カレー粉
がれえじ,ガレージ
かれこれ,かれこれ
かろがろしい,軽々しい
かろがろしい,軽々しい
かろりい,カロリー
かろんずる,軽んずる
かわいい,かわいい
かわうそ,かわうそ
かわせみ,かわせみ
かわむかい,川向かい
かわむこう,川向こう
かわらけ,かわらけ
かわりばん,替わり番
かわりめ,変わり目
かわりめ,変わり目
かわりもの,変わり者
かんがえごと,考えごと
かんがえこむ,考えこむ
かんがえだす,考え出す
かんがえつく,考えつく
かんがえもの,考えもの
かんかん,かんかん
がんがん,がんがん
かんかんがくがく,侃々諤々
かんきわまる,感極まる
かんぐる,かんぐる
かんこつだったい,換骨奪胎
かんこんそうさい,冠婚葬祭
かんざし,かんざし
かんじいる,感じ入る
かんじとる,感じ取る
かんしょ,かんしょ
がんぜない,頑是ない
かんぜんちょうあく,勧善懲悪
かんだん,歓・閑談
かんづめ,かん詰め
かんてら,カンテラ
かんどころ,勘どころ
がんとして,頑として
かんなくず,かんな屑
かんばす,カンバス
がんばり,がんばり
がんばる,がんばる
かんむり,かんむり
きあわす,来合わす
きいきい,きいきい
ぎいぎい,ぎいぎい
きえさる,消え去る
きえのこる,消え残る
きかえる,着替える
きがかり,気がかり
きがんかいせき,奇岩怪石
きかんぼう,きかん坊
ききいる,聞き入る
ききおさめ,聞き納め
ききおぼえ,聞き覚え
ききおよぶ,聞き及ぶ
ききかいかい,奇々怪々
ききかえす,聞き返す
ききこみ,聞き込み
ききこむ,聞き込む
ききずて,聞き捨て
ききずて,聞き捨て
ききだす,聞き出す
ききちがい,聞き違い
ききつたえ,聞き伝え
ききとり,聞き取り
ききとる,聞き取る
ききなおす,聞き直す
ききながし,聞き流し
ききながす,聞き流す
ききょう,ききょう
ききわけ,聞き分け
きこえる,聞こえる
きこしめす,聞し召す
きこつりょうりょう,気骨稜々
きこなし,着こなし
きこなす,着こなす
ぎざぎざ,ぎざぎざ
きざはし,きざはし
きさらぎ,きさらぎ
きしかいせい,起死回生
ぎしぎし,ぎしぎし
きずつける,傷つける
きぜわしい,気忙しい
きたならしい,汚らしい
きたんなく,忌憚なく
きちきち,きちきち
きちんと,きちんと
きちんと,きちんと
きづかい,気づかい
きづかう,気づかう
きっかけ,きっかけ
きっかり,きっかり
ぎっしり,ぎっしり
きっちり,きっちり
きっちり,きっちり
きっちり,きっちり
きつつき,きつつき
きっぱり,きっぱり
きっぱり,きっぱり
きづまり,気詰まり
きなくさい,きな臭い
きにいる,気に入る
きばらし,気晴らし
きびきび,きびきび
