一中	169
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

空襲	41
空車	からぐるま
空位	くうい
空間	くうかん
空気	くうき
空虚	くうきょ
空軍	くうぐん
空隙	くうげき
空港	くうこう
空車	くうしゃ
空将	くうしょう
空席	くうせき
空前	くうぜん
空疎	くうそ
空想	くうそう
空中	くうちゅう
空洞	くうどう
空白	くうはく
空爆	くうばく
空費	くうひ
空腹	くうふく
空文	くうぶん
空母	くうぼ
空砲	くうほう
空輸	くうゆ
空理	くうり
空路	くうろ
空論	くうろん
空く	すく
空色	そらいろ
空涙	そらなみだ
空似	そらに
空寝	そらね
奇襲	きしゅう
逆襲	ぎゃくしゅう
急襲	きゅうしゅう
強襲	きょうしゅう
熊襲	くまそ
世襲	せしゅう
踏襲	とうしゅう
夜襲	やしゅう
来襲	らいしゅう

突入	45
突き	つき
突く	つく
突貫	とっかん
突起	とっき
突撃	とつげき
突出	とっしゅつ
突如	とつじょ
突進	とっしん
突然	とつぜん
突端	とったん
突堤	とってい
突破	とっぱ
突発	とっぱつ
突端	とっぱな
突飛	とっぴ
突風	とっぷう
移入	いにゅう
介入	かいにゅう
加入	かにゅう
記入	きにゅう
吸入	きゅうにゅう
購入	こうにゅう
混入	こんにゅう
歳入	さいにゅう
算入	さんにゅう
収入	しゅうにゅう
出入	しゅつにゅう
侵入	しんにゅう
新入	しんにゅう
進入	しんにゅう
先入	せんにゅう
潜入	せんにゅう
挿入	そうにゅう
注入	ちゅうにゅう
転入	てんにゅう
投入	とうにゅう
導入	どうにゅう
納入	のうにゅう
搬入	はんにゅう
封入	ふうにゅう
編入	へんにゅう
没入	ぼつにゅう
輸入	ゆにゅう
乱入	らんにゅう
流入	りゅうにゅう

突風	80
突き	つき
突く	つく
突貫	とっかん
突起	とっき
突撃	とつげき
突出	とっしゅつ
突如	とつじょ
突進	とっしん
突然	とつぜん
突端	とったん
突堤	とってい
突入	とつにゅう
突破	とっぱ
突発	とっぱつ
突端	とっぱな
突飛	とっぴ
秋風	あきかぜ
悪風	あくふう
朝風	あさかぜ
雨風	あめかぜ
威風	いふう
遺風	いふう
大風	おおかぜ
海風	かいふう
学風	がくふう
家風	かふう
画風	がふう
神風	かみかぜ
川風	かわかぜ
寒風	かんぷう
北風	きたかぜ
気風	きふう
強風	きょうふう
颶風	ぐふう
薫風	くんぷう
芸風	げいふう
校風	こうふう
国風	こくふう
東風	こち
古風	こふう
作風	さくふう
潮風	しおかぜ
疾風	しっぷう
秋風	しゅうふう
春風	しゅんぷう
醇風	じゅんぷう
順風	じゅんぷう
松風	しょうふう
涼風	すすかぜ
旋風	せんぷう
台風	たいふう
中風	ちゅうぶう
通風	つうふう
波風	なみかぜ
南風	なんぷう
軟風	なんぷう
西風	にしかぜ
熱風	ねっぷう
爆風	ばくふう
破風	はふ
春風	はるかぜ
蛮風	ばんぷう
東風	ひがしかぜ
微風	びふう
美風	びふう
屏風	びょうぶ
弊風	へいふう
暴風	ぼうふう
防風	ぼうふう
松風	まつかぜ
南風	みなみかぜ
昔風	むかしふう
無風	むふう
山風	やまかぜ
夕風	ゆうかぜ
洋風	ようふう
夜風	よかぜ
涼風	りょうふう
烈風	れっぷう
和風	わふう

立秋	31
立ち	たち
立場	たちば
立役	たちやく
立つ	たつ
立て	たて
立案	りつあん
立脚	りっきゃく
立憲	りっけん
立志	りっし
立春	りっしゅん
立証	りっしょう
立食	りっしょく
立身	りっしん
立像	りつぞう
立体	りったい
立地	りっち
立冬	りっとう
立派	りっぱ
立腹	りっぷく
立方	りっぽう
立法	りっぽう
立論	りつろん
今秋	こんしゅう
春秋	しゅんじゅう
初秋	しょしゅう
仲秋	ちゅうしゅう
麦秋	ばくしゅう
初秋	はつあき
春秋	はるあき
晩秋	ばんしゅう
麦秋	むぎあき

立衆	31
立ち	たち
立場	たちば
立役	たちやく
立つ	たつ
立て	たて
立案	りつあん
立脚	りっきゃく
立憲	りっけん
立志	りっし
立秋	りっしゅう
立春	りっしゅん
立証	りっしょう
立食	りっしょく
立身	りっしん
立像	りつぞう
立体	りったい
立地	りっち
立冬	りっとう
立派	りっぱ
立腹	りっぷく
立方	りっぽう
立法	りっぽう
立論	りつろん
会衆	かいしゅう
観衆	かんしゅう
群衆	ぐんしゅう
公衆	こうしゅう
大衆	たいしゅう
聴衆	ちょうしゅう
民衆	みんしゅう
若衆	わかしゅ

竜宮	12
竜巻	たつまき
竜頭	りゅうず
行宮	あんぐう
王宮	おうきゅう
参宮	さんぐう
子宮	しきゅう
神宮	じんぐう
中宮	ちゅうぐう
東宮	とうぐう
迷宮	めいきゅう
宵宮	よいみや
離宮	りきゅう

笑中	60
笑顔	えがお
笑む	えむ
笑止	しょうし
笑声	しょうせい
笑話	しょうわ
笑い	わらい
笑う	わらう
意中	いちゅう
御中	おんちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
忌中	きちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
在中	ざいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
城中	じょうちゅう
暑中	しょちゅう
女中	じょちゅう
心中	しんじゅう
心中	しんちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
地中	ちちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

筆誅	23
筆記	ひっき
筆耕	ひっこう
筆算	ひっさん
筆紙	ひっし
筆写	ひっしゃ
筆者	ひっしゃ
筆勢	ひっせい
筆跡	ひっせき
筆舌	ひつぜつ
筆談	ひつだん
筆致	ひっち
筆答	ひっとう
筆頭	ひっとう
筆法	ひっぽう
筆墨	ひつぼく
筆名	ひつめい
筆力	ひつりょく
筆録	ひつろく
筆頭	ふでがしら
筆癖	ふでぐせ
筆先	ふでさき
筆箱	ふでばこ
筆太	ふでぶと

等充	12
等外	とうがい
等閑	とうかん
等級	とうきゅう
等式	とうしき
等質	とうしつ
等々	とうとう
等比	とうひ
等分	とうぶん
等辺	とうへん
等量	とうりょう
拡充	かくじゅう
補充	ほじゅう

等級	23
等外	とうがい
等閑	とうかん
等式	とうしき
等質	とうしつ
等々	とうとう
等比	とうひ
等分	とうぶん
等辺	とうへん
等量	とうりょう
階級	かいきゅう
下級	かきゅう
学級	がっきゅう
高級	こうきゅう
首級	しゅきゅう
昇級	しょうきゅう
上級	じょうきゅう
初級	しょきゅう
進級	しんきゅう
全級	ぜんきゅう
中級	ちゅうきゅう
低級	ていきゅう
同級	どうきゅう
特級	とっきゅう

算入	36
算出	さんしゅつ
算術	さんじゅつ
算数	さんすう
算段	さんだん
算定	さんてい
算用	さんよう
算盤	そろばん
移入	いにゅう
介入	かいにゅう
加入	かにゅう
記入	きにゅう
吸入	きゅうにゅう
購入	こうにゅう
混入	こんにゅう
歳入	さいにゅう
収入	しゅうにゅう
出入	しゅつにゅう
侵入	しんにゅう
新入	しんにゅう
進入	しんにゅう
先入	せんにゅう
潜入	せんにゅう
挿入	そうにゅう
注入	ちゅうにゅう
転入	てんにゅう
投入	とうにゅう
導入	どうにゅう
突入	とつにゅう
納入	のうにゅう
搬入	はんにゅう
封入	ふうにゅう
編入	へんにゅう
没入	ぼつにゅう
輸入	ゆにゅう
乱入	らんにゅう
流入	りゅうにゅう

管球	30
管下	かんか
管楽	かんがく
管轄	かんかつ
管区	かんく
管見	かんけん
管絃	かんげん
管掌	かんしょう
管制	かんせい
管長	かんちょう
管内	かんない
管理	かんり
眼球	がんきゅう
気球	ききゅう
血球	けっきゅう
硬球	こうきゅう
四球	しきゅう
蹴球	しゅうきゅう
卓球	たっきゅう
地球	ちきゅう
直球	ちょっきゅう
庭球	ていきゅう
電球	でんきゅう
投球	とうきゅう
撞球	どうきゅう
軟球	なんきゅう
排球	はいきゅう
半球	はんきゅう
野球	やきゅう
琉球	りゅうきゅう
篭球	ろうきゅう

範疇	1
範囲	はんい

篭球	21
篭居	ろうきょ
篭城	ろうじょう
篭絡	ろうらく
眼球	がんきゅう
気球	ききゅう
血球	けっきゅう
硬球	こうきゅう
四球	しきゅう
蹴球	しゅうきゅう
卓球	たっきゅう
地球	ちきゅう
直球	ちょっきゅう
庭球	ていきゅう
電球	でんきゅう
投球	とうきゅう
撞球	どうきゅう
軟球	なんきゅう
排球	はいきゅう
半球	はんきゅう
野球	やきゅう
琉球	りゅうきゅう

米収	29
米倉	こめぐら
米俵	こめだわら
米粒	こめつぶ
米糠	こめぬか
米屋	こめや
米塩	べいえん
米価	べいか
米軍	べいぐん
米国	べいこく
米穀	べいこく
米作	べいさく
米寿	べいじゅ
米食	べいしょく
米人	べいじん
回収	かいしゅう
吸収	きゅうしゅう
月収	げっしゅう
減収	げんしゅう
査収	さしゅう
実収	じっしゅう
接収	せっしゅう
増収	ぞうしゅう
徴収	ちょうしゅう
撤収	てっしゅう
年収	ねんしゅう
買収	ばいしゅう
没収	ぼっしゅう
未収	みしゅう
領収	りょうしゅう

米琉	14
米倉	こめぐら
米俵	こめだわら
米粒	こめつぶ
米糠	こめぬか
米屋	こめや
米塩	べいえん
米価	べいか
米軍	べいぐん
米国	べいこく
米穀	べいこく
米作	べいさく
米寿	べいじゅ
米食	べいしょく
米人	べいじん

粉乳	18
粉薬	こぐすり
粉米	こごめ
粉薬	こなぐすり
粉雪	こなゆき
粉雪	こゆき
粉砕	ふんさい
粉剤	ふんざい
粉飾	ふんしょく
粉食	ふんしょく
粉炭	ふんたん
粉本	ふんぽん
粉末	ふんまつ
牛乳	ぎゅうにゅう
授乳	じゅにゅう
添乳	そえぢ
哺乳	ほにゅう
母乳	ぼにゅう
離乳	りにゅう

粉瘤	13
粉薬	こぐすり
粉米	こごめ
粉薬	こなぐすり
粉雪	こなゆき
粉雪	こゆき
粉砕	ふんさい
粉剤	ふんざい
粉飾	ふんしょく
粉食	ふんしょく
粉炭	ふんたん
粉乳	ふんにゅう
粉本	ふんぽん
粉末	ふんまつ

粘稠	6
粘り	ねばり
粘る	ねばる
粘液	ねんえき
粘着	ねんちゃく
粘土	ねんど
粘膜	ねんまく

粟粒	3
小粒	こつぶ
米粒	こめつぶ
飯粒	めしつぶ

糸遊	8
糸巻	いとまき
回遊	かいゆう
外遊	がいゆう
豪遊	ごうゆう
周遊	しゅうゆう
清遊	せいゆう
浮遊	ふゆう
漫遊	まんゆう

納入	42
納め	おさめ
納豆	なっとう
納得	なっとく
納屋	なや
納戸	なんど
納棺	のうかん
納期	のうき
納金	のうきん
納骨	のうこつ
納税	のうぜい
納品	のうひん
納付	のうふ
納涼	のうりょう
移入	いにゅう
介入	かいにゅう
加入	かにゅう
記入	きにゅう
吸入	きゅうにゅう
購入	こうにゅう
混入	こんにゅう
歳入	さいにゅう
算入	さんにゅう
収入	しゅうにゅう
出入	しゅつにゅう
侵入	しんにゅう
新入	しんにゅう
進入	しんにゅう
先入	せんにゅう
潜入	せんにゅう
挿入	そうにゅう
注入	ちゅうにゅう
転入	てんにゅう
投入	とうにゅう
導入	どうにゅう
突入	とつにゅう
搬入	はんにゅう
封入	ふうにゅう
編入	へんにゅう
没入	ぼつにゅう
輸入	ゆにゅう
乱入	らんにゅう
流入	りゅうにゅう

級友	15
級数	きゅうすう
級長	きゅうちょう
悪友	あくゆう
畏友	いゆう
学友	がくゆう
旧友	きゅうゆう
交友	こうゆう
校友	こうゆう
師友	しゆう
親友	しんゆう
戦友	せんゆう
知友	ちゆう
盟友	めいゆう
療友	りょうゆう
良友	りょうゆう

紛糾	8
紛議	ふんぎ
紛失	ふんしつ
紛擾	ふんじょう
紛争	ふんそう
紛々	ふんぷん
紛紛	ふんぷん
紛い	まがい
紛れ	まぎれ

細柳	20
細編	こまあみ
細菌	さいきん
細工	さいく
細君	さいくん
細字	さいじ
細心	さいしん
細則	さいそく
細大	さいだい
細部	さいぶ
細胞	さいぼう
細密	さいみつ
細目	さいもく
細い	ほそい
細腕	ほそうで
細字	ほそじ
細引	ほそびき
細々	ほそぼそ
細目	ほそめ
細る	ほそる
川柳	せんりゅう

細流	60
細編	こまあみ
細菌	さいきん
細工	さいく
細君	さいくん
細字	さいじ
細心	さいしん
細則	さいそく
細大	さいだい
細部	さいぶ
細胞	さいぼう
細密	さいみつ
細目	さいもく
細い	ほそい
細腕	ほそうで
細字	ほそじ
細引	ほそびき
細々	ほそぼそ
細目	ほそめ
細る	ほそる
亜流	ありゅう
一流	いちりゅう
海流	かいりゅう
下流	かりゅう
河流	かりゅう
我流	がりゅう
寒流	かんりゅう
貫流	かんりゅう
還流	かんりゅう
逆流	ぎゃくりゅう
急流	きゅうりゅう
気流	きりゅう
渓流	けいりゅう
激流	げきりゅう
源流	げんりゅう
交流	こうりゅう
合流	ごうりゅう
主流	しゅりゅう
上流	じょうりゅう
女流	じょりゅう
支流	しりゅう
時流	じりゅう
水流	すいりゅう
清流	せいりゅう
対流	たいりゅう
濁流	だくりゅう
暖流	だんりゅう
嫡流	ちゃくりゅう
中流	ちゅうりゅう
潮流	ちょうりゅう
直流	ちょくりゅう
電流	でんりゅう
漂流	ひょうりゅう
風流	ふうりゅう
浮流	ふりゅう
噴流	ふんりゅう
放流	ほうりゅう
奔流	ほんりゅう
本流	ほんりゅう
末流	まつりゅう
湾流	わんりゅう

細粒	23
細編	こまあみ
細菌	さいきん
細工	さいく
細君	さいくん
細字	さいじ
細心	さいしん
細則	さいそく
細大	さいだい
細部	さいぶ
細胞	さいぼう
細密	さいみつ
細目	さいもく
細い	ほそい
細腕	ほそうで
細字	ほそじ
細引	ほそびき
細々	ほそぼそ
細目	ほそめ
細る	ほそる
粟粒	あわつぶ
小粒	こつぶ
米粒	こめつぶ
飯粒	めしつぶ

組中	62
組み	くみ
組合	くみあい
組曲	くみきょく
組長	くみちょう
組版	くみはん
組む	くむ
組閣	そかく
組織	そしき
組成	そせい
意中	いちゅう
御中	おんちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
忌中	きちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
在中	ざいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
城中	じょうちゅう
暑中	しょちゅう
女中	じょちゅう
心中	しんじゅう
心中	しんちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
地中	ちちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

組重	30
組み	くみ
組合	くみあい
組曲	くみきょく
組長	くみちょう
組版	くみはん
組む	くむ
組閣	そかく
組織	そしき
組成	そせい
幾重	いくえ
加重	かじゅう
荷重	かじゅう
過重	かじゅう
貴重	きちょう
軽重	けいじゅう
軽重	けいちょう
厳重	げんじゅう
自重	じちょう
慎重	しんちょう
荘重	そうちょう
尊重	そんちょう
体重	たいじゅう
珍重	ちんちょう
鄭重	ていちょう
鈍重	どんじゅう
二重	にじゅう
比重	ひじゅう
二重	ふたえ
偏重	へんちょう
八重	やえ

結球	45
結縁	けちえん
結果	けっか
結跏	けっか
結核	けっかく
結局	けっきょく
結句	けっく
結構	けっこう
結合	けつごう
結婚	けっこん
結実	けつじつ
結社	けっしゃ
結集	けっしゅう
結晶	けっしょう
結審	けっしん
結成	けっせい
結束	けっそく
結滞	けったい
結託	けったく
結髪	けっぱつ
結氷	けっぴょう
結末	けつまつ
結論	けつろん
結び	むすび
結ぶ	むすぶ
結納	ゆいのう
結う	ゆう
眼球	がんきゅう
気球	ききゅう
血球	けっきゅう
硬球	こうきゅう
四球	しきゅう
蹴球	しゅうきゅう
卓球	たっきゅう
地球	ちきゅう
直球	ちょっきゅう
庭球	ていきゅう
電球	でんきゅう
投球	とうきゅう
撞球	どうきゅう
軟球	なんきゅう
排球	はいきゅう
半球	はんきゅう
野球	やきゅう
琉球	りゅうきゅう
篭球	ろうきゅう

結集	44
結縁	けちえん
結果	けっか
結跏	けっか
結核	けっかく
結局	けっきょく
結句	けっく
結構	けっこう
結合	けつごう
結婚	けっこん
結実	けつじつ
結社	けっしゃ
結晶	けっしょう
結審	けっしん
結成	けっせい
結束	けっそく
結滞	けったい
結託	けったく
結髪	けっぱつ
結氷	けっぴょう
結末	けつまつ
結論	けつろん
結び	むすび
結ぶ	むすぶ
結納	ゆいのう
結う	ゆう
蝟集	いしゅう
歌集	かしゅう
凝集	ぎょうしゅう
句集	くしゅう
群集	ぐんしゅう
採集	さいしゅう
参集	さんしゅう
詩集	ししゅう
収集	しゅうしゅう
召集	しょうしゅう
招集	しょうしゅう
選集	せんしゅう
全集	ぜんしゅう
徴集	ちょうしゅう
特集	とくしゅう
文集	ぶんしゅう
編集	へんしゅう
募集	ぼしゅう
密集	みっしゅう

綿球	24
綿花	めんか
綿糸	めんし
綿布	めんぷ
綿密	めんみつ
綿々	めんめん
眼球	がんきゅう
気球	ききゅう
血球	けっきゅう
硬球	こうきゅう
四球	しきゅう
蹴球	しゅうきゅう
卓球	たっきゅう
地球	ちきゅう
直球	ちょっきゅう
庭球	ていきゅう
電球	でんきゅう
投球	とうきゅう
撞球	どうきゅう
軟球	なんきゅう
排球	はいきゅう
半球	はんきゅう
野球	やきゅう
琉球	りゅうきゅう
篭球	ろうきゅう

緊急	18
緊縮	きんしゅく
緊切	きんせつ
緊張	きんちょう
緊迫	きんぱく
緊密	きんみつ
緊要	きんよう
応急	おうきゅう
火急	かきゅう
緩急	かんきゅう
危急	ききゅう
救急	きゅうきゅう
早急	さっきゅう
至急	しきゅう
準急	じゅんきゅう
性急	せいきゅう
早急	そうきゅう
特急	とっきゅう
不急	ふきゅう

総収	46
総意	そうい
総員	そういん
総会	そうかい
総額	そうがく
総括	そうかつ
総監	そうかん
総計	そうけい
総見	そうけん
総合	そうごう
総裁	そうさい
総称	そうしょう
総帥	そうすい
総数	そうすう
総勢	そうぜい
総説	そうせつ
総体	そうたい
総代	そうだい
総長	そうちょう
総出	そうで
総統	そうとう
総督	そうとく
総屯	そうとん
総花	そうばな
総評	そうひょう
総務	そうむ
総覧	そうらん
総理	そうり
総領	そうりょう
総力	そうりょく
総論	そうろん
総和	そうわ
回収	かいしゅう
吸収	きゅうしゅう
月収	げっしゅう
減収	げんしゅう
査収	さしゅう
実収	じっしゅう
接収	せっしゅう
増収	ぞうしゅう
徴収	ちょうしゅう
撤収	てっしゅう
年収	ねんしゅう
買収	ばいしゅう
没収	ぼっしゅう
未収	みしゅう
領収	りょうしゅう

総有	47
総意	そうい
総員	そういん
総会	そうかい
総額	そうがく
総括	そうかつ
総監	そうかん
総計	そうけい
総見	そうけん
総合	そうごう
総裁	そうさい
総称	そうしょう
総帥	そうすい
総数	そうすう
総勢	そうぜい
総説	そうせつ
総体	そうたい
総代	そうだい
総長	そうちょう
総出	そうで
総統	そうとう
総督	そうとく
総屯	そうとん
総花	そうばな
総評	そうひょう
総務	そうむ
総覧	そうらん
総理	そうり
総領	そうりょう
総力	そうりょく
総論	そうろん
総和	そうわ
含有	がんゆう
享有	きょうゆう
共有	きょうゆう
稀有	けう
公有	こうゆう
国有	こくゆう
個有	こゆう
固有	こゆう
私有	しゆう
所有	しょゆう
占有	せんゆう
専有	せんゆう
特有	とくゆう
万有	ばんゆう
保有	ほゆう
領有	りょうゆう

緑風	73
緑色	みどりいろ
緑陰	りょくいん
緑色	りょくしょく
緑地	りょくち
緑茶	りょくちゃ
緑野	りょくや
緑化	りょっか
緑青	ろくしょう
秋風	あきかぜ
悪風	あくふう
朝風	あさかぜ
雨風	あめかぜ
威風	いふう
遺風	いふう
大風	おおかぜ
海風	かいふう
学風	がくふう
家風	かふう
画風	がふう
神風	かみかぜ
川風	かわかぜ
寒風	かんぷう
北風	きたかぜ
気風	きふう
強風	きょうふう
颶風	ぐふう
薫風	くんぷう
芸風	げいふう
校風	こうふう
国風	こくふう
東風	こち
古風	こふう
作風	さくふう
潮風	しおかぜ
疾風	しっぷう
秋風	しゅうふう
春風	しゅんぷう
醇風	じゅんぷう
順風	じゅんぷう
松風	しょうふう
涼風	すすかぜ
旋風	せんぷう
台風	たいふう
中風	ちゅうぶう
通風	つうふう
突風	とっぷう
波風	なみかぜ
南風	なんぷう
軟風	なんぷう
西風	にしかぜ
熱風	ねっぷう
爆風	ばくふう
破風	はふ
春風	はるかぜ
蛮風	ばんぷう
東風	ひがしかぜ
微風	びふう
美風	びふう
屏風	びょうぶ
弊風	へいふう
暴風	ぼうふう
防風	ぼうふう
松風	まつかぜ
南風	みなみかぜ
昔風	むかしふう
無風	むふう
山風	やまかぜ
夕風	ゆうかぜ
洋風	ようふう
夜風	よかぜ
涼風	りょうふう
烈風	れっぷう
和風	わふう

線虫	16
線画	せんが
線外	せんがい
線香	せんこう
線分	せんぶん
線路	せんろ
益虫	えきちゅう
害虫	がいちゅう
毛虫	けむし
甲虫	こうちゅう
昆虫	こんちゅう
成虫	せいちゅう
田虫	たむし
毒虫	どくむし
水虫	みずむし
幼虫	ようちゅう
弱虫	よわむし

編修	15
編み	あみ
編む	あむ
編曲	へんきょく
編纂	へんさん
編者	へんしゃ
編集	へんしゅう
編成	へんせい
編隊	へんたい
編著	へんちょ
編入	へんにゅう
改修	かいしゅう
監修	かんしゅう
研修	けんしゅう
補修	ほしゅう
履修	りしゅう

編入	39
編み	あみ
編む	あむ
編曲	へんきょく
編纂	へんさん
編者	へんしゃ
編修	へんしゅう
編集	へんしゅう
編成	へんせい
編隊	へんたい
編著	へんちょ
移入	いにゅう
介入	かいにゅう
加入	かにゅう
記入	きにゅう
吸入	きゅうにゅう
購入	こうにゅう
混入	こんにゅう
歳入	さいにゅう
算入	さんにゅう
収入	しゅうにゅう
出入	しゅつにゅう
侵入	しんにゅう
新入	しんにゅう
進入	しんにゅう
先入	せんにゅう
潜入	せんにゅう
挿入	そうにゅう
注入	ちゅうにゅう
転入	てんにゅう
投入	とうにゅう
導入	どうにゅう
突入	とつにゅう
納入	のうにゅう
搬入	はんにゅう
封入	ふうにゅう
没入	ぼつにゅう
輸入	ゆにゅう
乱入	らんにゅう
流入	りゅうにゅう

編輯	12
編み	あみ
編む	あむ
編曲	へんきょく
編纂	へんさん
編者	へんしゃ
編修	へんしゅう
編集	へんしゅう
編成	へんせい
編隊	へんたい
編著	へんちょ
編入	へんにゅう
特輯	とくしゅう

編集	29
編み	あみ
編む	あむ
編曲	へんきょく
編纂	へんさん
編者	へんしゃ
編修	へんしゅう
編成	へんせい
編隊	へんたい
編著	へんちょ
編入	へんにゅう
蝟集	いしゅう
歌集	かしゅう
凝集	ぎょうしゅう
句集	くしゅう
群集	ぐんしゅう
結集	けっしゅう
採集	さいしゅう
参集	さんしゅう
詩集	ししゅう
収集	しゅうしゅう
召集	しょうしゅう
招集	しょうしゅう
選集	せんしゅう
全集	ぜんしゅう
徴集	ちょうしゅう
特集	とくしゅう
文集	ぶんしゅう
募集	ぼしゅう
密集	みっしゅう

緩急	17
緩行	かんこう
緩衝	かんしょう
緩慢	かんまん
緩和	かんわ
緩い	ゆるい
応急	おうきゅう
火急	かきゅう
危急	ききゅう
救急	きゅうきゅう
緊急	きんきゅう
早急	さっきゅう
至急	しきゅう
準急	じゅんきゅう
性急	せいきゅう
早急	そうきゅう
特急	とっきゅう
不急	ふきゅう

緩流	47
緩急	かんきゅう
緩行	かんこう
緩衝	かんしょう
緩慢	かんまん
緩和	かんわ
緩い	ゆるい
亜流	ありゅう
一流	いちりゅう
海流	かいりゅう
下流	かりゅう
河流	かりゅう
我流	がりゅう
寒流	かんりゅう
貫流	かんりゅう
還流	かんりゅう
逆流	ぎゃくりゅう
急流	きゅうりゅう
気流	きりゅう
渓流	けいりゅう
激流	げきりゅう
源流	げんりゅう
交流	こうりゅう
合流	ごうりゅう
主流	しゅりゅう
上流	じょうりゅう
女流	じょりゅう
支流	しりゅう
時流	じりゅう
水流	すいりゅう
清流	せいりゅう
対流	たいりゅう
濁流	だくりゅう
暖流	だんりゅう
嫡流	ちゃくりゅう
中流	ちゅうりゅう
潮流	ちょうりゅう
直流	ちょくりゅう
電流	でんりゅう
漂流	ひょうりゅう
風流	ふうりゅう
浮流	ふりゅう
噴流	ふんりゅう
放流	ほうりゅう
奔流	ほんりゅう
本流	ほんりゅう
末流	まつりゅう
湾流	わんりゅう

緩球	25
緩急	かんきゅう
緩行	かんこう
緩衝	かんしょう
緩慢	かんまん
緩和	かんわ
緩い	ゆるい
眼球	がんきゅう
気球	ききゅう
血球	けっきゅう
硬球	こうきゅう
四球	しきゅう
蹴球	しゅうきゅう
卓球	たっきゅう
地球	ちきゅう
直球	ちょっきゅう
庭球	ていきゅう
電球	でんきゅう
投球	とうきゅう
撞球	どうきゅう
軟球	なんきゅう
排球	はいきゅう
半球	はんきゅう
野球	やきゅう
琉球	りゅうきゅう
篭球	ろうきゅう

練乳	12
練り	ねり
練る	ねる
練習	れんしゅう
練達	れんたつ
練磨	れんま
牛乳	ぎゅうにゅう
授乳	じゅにゅう
添乳	そえぢ
粉乳	ふんにゅう
哺乳	ほにゅう
母乳	ぼにゅう
離乳	りにゅう

練習	22
練り	ねり
練る	ねる
練達	れんたつ
練磨	れんま
悪習	あくしゅう
因習	いんしゅう
演習	えんしゅう
温習	おんしゅう
学習	がくしゅう
慣習	かんしゅう
奇習	きしゅう
旧習	きゅうしゅう
教習	きょうしゅう
講習	こうしゅう
自習	じしゅう
実習	じっしゅう
常習	じょうしゅう
独習	どくしゅう
風習	ふうしゅう
復習	ふくしゅう
補習	ほしゅう
予習	よしゅう

繋留	12
慰留	いりゅう
書留	かきとめ
居留	きょりゅう
寄留	きりゅう
拘留	こうりゅう
在留	ざいりゅう
残留	ざんりゅう
駐留	ちゅうりゅう
停留	ていりゅう
逗留	とうりゅう
保留	ほりゅう
抑留	よくりゅう

美醜	23
美化	びか
美学	びがく
美観	びかん
美挙	びきょ
美術	びじゅつ
美女	びじょ
美称	びしょう
美食	びしょく
美人	びじん
美声	びせい
美俗	びぞく
美談	びだん
美的	びてき
美点	びてん
美徳	びとく
美男	びなん
美風	びふう
美文	びぶん
美貌	びぼう
美味	びみ
美名	びめい
美容	びよう
美麗	びれい

美風	87
美化	びか
美学	びがく
美観	びかん
美挙	びきょ
美醜	びしゅう
美術	びじゅつ
美女	びじょ
美称	びしょう
美食	びしょく
美人	びじん
美声	びせい
美俗	びぞく
美談	びだん
美的	びてき
美点	びてん
美徳	びとく
美男	びなん
美文	びぶん
美貌	びぼう
美味	びみ
美名	びめい
美容	びよう
