あいくるしい	愛くるしい
たすきがけ	たすきがけ
たたききる	たたき切る
たたきこむ	たたき込む
たたきだす	たたき出す
たたずまい	たたずまい
たたみかける	畳みかける
たちあがり	立ち上がり
たちあがる	立ち上がる
たちすくむ	立ちすくむ
たちつづける	立ち続ける
たちどまる	立ち止まる
たちのぼる	立ちのぼる
たちはばとび	立ち幅跳び
たちまわる	立ちまわる
たちむかう	立ち向かう
たてかえる	立て替える
たてかける	立てかける
たてかける	立て掛ける
たてこもる	立てこもる
たてつづけに	立て続けに
たどりつく	たどりつく
たなおろし	たなおろし
たなごころ	たなごころ
たぶらかす	たぶらかす
たべつける	食べつける
だましうち	だまし討ち
たまらない	たまらない
たむろする	たむろする
だらしない	だらしない
たれさがる	垂れ下がる
たわいない	たわいない
たわむれる	たわむれる
たんばりん	タンバリン
だんぴんぐ	ダンピング
ちぇりすと	チェリスト
ちからいっぱい	力いっぱい
ちきゅうかんそくねん	地球観測年
ちぢこまる	ちぢこまる
ちゃっかり	ちゃっかり
ちゃのみともだち	茶飲み友達
ちゃぶだい	ちゃぶだい
ちゃんばら	ちゃんばら
ちゃんぽん	ちゃんぽん
ちゅうおうかこうきゅう	中央火口丘
ちゅうぶらりん	宙ぶらりん
ちょこっと	ちょこっと
ちょこんと	ちょこんと
ちょっきり	ちょっきり
ちょっぴり	ちょっぴり
ちょんぎる	ちょんぎる
ちょんまげ	ちょんまげ
ちりあくた	ちりあくた
ちりばめる	ちりばめる
ちんどんや	チンドン屋
つうぴいす	ツーピース
つかいこなす	使いこなす
つかいならす	使い慣らす
つかいなれる	使い慣れる
つかいはたす	使い果たす
つかいわける	使い分ける
つかさどる	つかさどる
つかまえる	つかまえる
つかみあい	つかみ合い
つかみあう	つかみあう
つかみだす	つかみ出す
つかみどり	つかみ取り
つきあげる	つきあげる
つきあたり	突き当たり
つきあたる	つき当たる
つきあてる	つき当てる
つきあわせ	つきあわせ
つきおとす	突き落とす
つきかかる	つきかかる
つきかためる	搗き固める
つきつける	つきつける
つきつめる	突き詰める
つきとばす	つき飛ばす
つきとめる	つきとめる
つきぬける	突き抜ける
つきのける	突きのける
つきはてる	尽き果てる
つきまとう	つきまとう
つきみそう	つきみそう
つくねんと	つくねんと
つくりあげる	作りあげる
つくりあげる	作り上げる
つくりかえる	作り替える
つけあがる	つけあがる
つけかえる	付け替える
つけくわえる	付け加える
つけくわわる	付け加わる
つけどまり	付けどまり
つけねらう	つけねらう
つけはなし	つけはなし
つけまわす	つけまわす
つけやきば	つけ焼き刃
つっかかる	つっかかる
つっかける	つっかける
つつがない	つつがない
つづけざまに	続けざまに
つっぱなす	つっぱなす
つっぱねる	つっぱねる
つつましい	つつましい
つづらおり	つづら折り
つのづきあい	角突きあい
つまされる	つまされる
つまだてる	つまだてる
つまはじき	つまはじき
つまびらか	つまびらか
つまみぐい	つまみ食い
つまみだす	つまみ出す
つまみもの	つまみもの
つまらない	つまらない
つみあげる	積み上げる
つみかえる	積み換える
つみかさなる	積み重なる
つみかさねる	積み重ねる
つみたてる	積み立てる
つめかける	詰めかける
つめかける	詰め替える
つりあがる	つり上がる
つりあげる	つり上げる
つりさげる	つり下げる
つるべうち	つるべ射ち
つんのめる	つんのめる
てあしまとい	手足まとい
でぃいぜる	ディーゼル
ていっぱい	手いっぱい
でかだんす	デカダンス
できあがり	出来上がり
できあがる	出来上がる
てきびしい	手きびしい
てくにっく	テクニック
でくのぼう	でくのぼう
でざいなあ	デザイナー
でしゃばり	出しゃばり
でしゃばる	出しゃばる
でずいらず	出ず入らず
てなずける	手なづける
てばしこい	手ばしこい
でらっくす	デラックス
てりつける	照りつける
てりはえる	照りはえる
てれくさい	照れくさい
てれたいぷ	テレタイプ
てをいれる	手を入れる
てんてこまい	てんてこ舞
てんねんきねんぶつ	天然記念物
といあわす	問い合わす
といかける	問いかける
といただす	問いただす
といつめる	問いつめる
といれっと	トイレット
とうがらし	とうがらし
どうしても	どうしても
とおりいっぺん	通り一ぺん
とおりがかり	通りがかり
とおりがかる	通りかかる
とおりすがり	通りすがり
とおりすぎる	通り過ぎる
とおりぬける	通り抜ける
とがらかす	とがらかす
とぎすます	研ぎすます
ときふせる	説き伏せる
ところきらわず	所きらわず
とじこめる	閉じこめる
とじこもる	閉じこもる
とじつける	とじつける
どじをふむ	どじを踏む
どすぐろい	どすぐろい
